Series Code,"Country Code","YR2000","YR2001","YR2002","YR2003","YR2004","YR2005","YR2006","YR2007","YR2008","YR2009","YR2010","YR2011","YR2012","YR2013","YR2014","YR2015"
PA.NUS.PPPC.RF,"NIC","0.368881155989706","0.365092502592597","0.350249099737003","0.341257006380837","0.343404822559267","0.347980004129803","0.347991327767096","0.353817470599905","0.384132792045958","0.386946039750032","0.386393610991874","0.397721590826956","0.398481888301147","0.389707108697046","0.399135137818694",".."
PA.NUS.PPPC.RF,"NER","0.265337606133617","0.26201025806359","0.279532182683215","0.327537020834337","0.355934561595073","0.368062749445807","0.361462657567831","0.401692427568515","0.452651715376207","0.451941920218655","0.436547191517187","0.468537929326002","0.445880426693237","0.464913507793614","0.45574621819034",".."
PA.NUS.PPPC.RF,"NGA","0.167935754874361","0.149636139263257","0.190189134027144","0.193381935821425","0.182726445302318","0.218675539208668","0.254015690936944","0.265094414564678","0.305818445172956","0.231197836713862","0.461222897233052","0.480661716146122","0.506925894736312","0.529448076123342","0.541899932740866",".."
PA.NUS.PPPC.RF,"MNP","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
PA.NUS.PPPC.RF,"NOR","1.03689097684565","1.02012533781154","1.14120832185175","1.28503954690545","1.33319413126038","1.38089763290648","1.35518562986294","1.49723919682004","1.55178687943262","1.42463034524434","1.49025478971576","1.6031309995361","1.55296570691878","1.54017940425532","1.48289880983867",".."
PA.NUS.PPPC.RF,"OMN","0.246855107755694","0.230344394738908","0.237532146962085","0.256986170120277","0.282640274324679","0.335344359878224","0.369695264554221","0.389869891901303","0.51142480732496","0.380027243276603","0.434143348608252","0.498228194027774","0.513618159132107","0.498766515854798","0.499851595201862",".."
PA.NUS.PPPC.RF,"PAK","0.192718528542559","0.180657709754583","0.172361463036488","0.185562394427255","0.19797144600746","0.19909471068522","0.228044506237372","0.235235498823524","0.253187707251056","0.241594157296766","0.247832551771626","0.284743929981798","0.284013707233063","0.275820937659659","0.273646811398371",".."
PA.NUS.PPPC.RF,"PLW","0.765847642696071","0.761896709078571","0.715416658440329","0.719598232283088","0.716211309411241","0.745566642152787","0.740664526384042","0.725397072532194","0.758973980570183","0.792347743784005","0.758749867231032","0.749237503264511","0.754908007635246","0.80413120949318","0.805037783808165",".."
PA.NUS.PPPC.RF,"PAN","0.482127873926874","0.476236223792698","0.476874427764138","0.472839688486219","0.469228529595907","0.462549000898199","0.458214020805486","0.490687489149402","0.519450391758205","0.516574735890931","0.535854778829307","0.547271966423635","0.556329386543499","0.568443584846704","0.571859746733442",".."
PA.NUS.PPPC.RF,"PNG","0.445090419421439","0.381220439868737","0.366108352639609","0.414238146091898","0.435827245229526","0.491971830187294","0.530070305947983","0.552720875574465","0.641543225169553","0.607759629880313","0.6684499037958","0.784071448405677","0.852031721282477","0.796590191812119","0.794521400639157",".."
PA.NUS.PPPC.RF,"PRY","0.320471329049872","0.295402980031226","0.240207518936768","0.235142168397367","0.268189381524455","0.276592247932782","0.312071850632589","0.373631922495149","0.462149357814452","0.411163597099845","0.451633435050277","0.53080209080364","0.518292016764924","0.529122732493156","0.528856001022012",".."
PA.NUS.PPPC.RF,"PER","0.38147084005446","0.375127248031878","0.369663041424363","0.377307853168234","0.395289642664523","0.404906011831735","0.428281790886288","0.447038753111141","0.477990322024345","0.467994604875905","0.52245869047406","0.552228826453285","0.578411918880789","0.564467930492125","0.545589130211842",".."
PA.NUS.PPPC.RF,"PHL","0.310293819281216","0.277510654928123","0.281320111381471","0.27099763977937","0.269175257399672","0.280764341107829","0.306886256943797","0.342665350049341","0.376326390469936","0.356826912537732","0.388338168655371","0.412201457777425","0.423504683270233","0.423818321519274","0.412186097332279",".."
PA.NUS.PPPC.RF,"POL","0.423526610064196","0.45418671682259","0.448309803921569","0.472674140546656","0.508828193350831","0.577690001545356","0.594292987883475","0.665916759998555","0.770591897725386","0.597746867087593","0.603238152091003","0.616835425948427","0.556900353139874","0.56244763652471","0.567534316056427",".."
PA.NUS.PPPC.RF,"PRT","0.644486825133591","0.630973601789709","0.666380575945793","0.795645598194131","0.889050161410479","0.851050864320358","0.830314891481621","0.903197372022995","0.95094331331478","0.880006946373993","0.836580132450331","0.861220461495691","0.75860960301896","0.774034246744692","0.769276044818371",".."
PA.NUS.PPPC.RF,"PRI","0.628881392842535","0.632010357226882","0.636871041712","0.645023946207708","0.653410994592683","0.657613976863497","0.669527430128061","0.691982160800989","0.722868935208684","0.756319181469118","0.783123036241428","0.7977296","0.8118634247255","0.820938948821244","..",".."
PA.NUS.PPPC.RF,"QAT","0.34506977588528","0.320674275551168","0.325329172707107","0.373756321876261","0.41143056568661","0.520349600404703","0.547052317143552","0.591326019400604","0.712755601452407","0.536068639211453","0.566562925163846","0.664461739751396","0.697457040229522","0.697152517252992","0.687756665228571",".."
PA.NUS.PPPC.RF,"ROM","0.291315549821858","0.282626550434836","0.299689457824936","0.355797032060096","0.398676756288501","0.488386183546954","0.510398923800085","0.620317233698118","0.633937856827758","0.519758857511212","0.500456218478536","0.522016833470065","0.452580094575985","0.489726902852892","0.491447239052416",".."
PA.NUS.PPPC.RF,"RUS","0.259557483114113","0.285080596503257","0.295805550239234","0.321511631695556","0.400958000694203","0.450288180056851","0.463938619396124","0.546668204278209","0.577043161965002","0.441687376340563","0.520783590567672","0.590340851464998","0.598597396870278","0.643223157888124","0.553986612191296",".."
PA.NUS.PPPC.RF,"RWA","0.341263333844875","0.296378874974533","0.257578988335635","0.273940240144148","0.282136922226509","0.315913501946914","0.338067415407983","0.371445001700835","0.416353598308382","0.430382870792009","0.425289048109791","0.434363127287874","0.442001239143994","0.433445684274842","0.41895011920922",".."
PA.NUS.PPPC.RF,"WSM","0.449427738569027","0.417112952855944","0.415315504729398","0.458251792065808","0.528780400550325","0.544801116109899","0.563186658952304","0.581895779648039","0.613323215724514","0.605260198625656","0.666820271489339","0.716534247704272","0.739936307687484","0.735657738484097","0.720708967983588",".."
PA.NUS.PPPC.RF,"SMR","..","..","..","..","..","..","..","..","..","..","..","0.987352071784413","..","..","..",".."
PA.NUS.PPPC.RF,"STP","..","0.302640030184839","0.324606568413255","0.3572638971702","0.366210781549132","0.396801413460987","0.37586958713627","0.384620261840524","0.453327454584305","0.439300387980806","0.421037311596743","0.483867003529075","0.50296891712203","0.547383692522072","0.570080725013101",".."
